Knudsen, Erik (I)	Youth in Revolt	2009
Knudsen, Erik (I)	Scott Pilgrim vs. the World	2010
Robinson, Karen (I)	Against the Ropes	2004
Robinson, Karen (I)	Narc	2002
Robinson, Karen (I)	Booty Call	1997
Robinson, Karen (I)	Lars and the Real Girl	2007
Cross, Gene	Jo Jo Dancer, Your Life Is Calling	1986
Cross, Gene	Richard Pryor Live on the Sunset Strip	1982
Cross, Gene	Star Trek V: The Final Frontier	1989
Jolie, Angelina	Lara Croft: Tomb Raider	2001
Jolie, Angelina	Salt	2010
Jolie, Angelina	The Good Shepherd	2006
Jolie, Angelina	Alexander	2004
Jolie, Angelina	Pushing Tin	1999
Jolie, Angelina	Exit Through the Gift Shop	2010
Jolie, Angelina	Kung Fu Panda	2008
Jolie, Angelina	Beowulf	2007
Jolie, Angelina	Shark Tale	2004
Jolie, Angelina	Kung Fu Panda 2	2011
Jolie, Angelina	Lara Croft Tomb Raider: The Cradle of Life	2003
Jolie, Angelina	Taking Lives	2004
Jolie, Angelina	The Tourist	2010
Jolie, Angelina	The Bone Collector	1999
Jolie, Angelina	Original Sin	2001
Jolie, Angelina	Gone in Sixty Seconds	2000
Jolie, Angelina	Wanted	2008
Jolie, Angelina	Sky Captain and the World of Tomorrow	2004
Jolie, Angelina	Mr. & Mrs. Smith	2005
Jolie, Angelina	Changeling	2008
Jolie, Angelina	Girl, Interrupted	1999
Jolie, Angelina	A Mighty Heart	2007
Jolie, Angelina	Life or Something Like It	2002
Pinon, Dominique	La gran aventura de Mortadelo y Filemón	2003
Pinon, Dominique	Alien: Resurrection	1997
Pinon, Dominique	Un long dimanche de fiançailles	2004
Pinon, Dominique	Le fabuleux destin d'Amélie Poulain	2001
Laverty, Larry	Made in America	1993
Laverty, Larry	High Crimes	2002
Laverty, Larry	Jane Austen's Mafia!	1998
Yip, Françoise	The Pledge	2001
Yip, Françoise	AVPR: Aliens vs Predator - Requiem	2007
Yip, Françoise	Blade: Trinity	2004
Yip, Françoise	Romeo Must Die	2000
Yip, Françoise	Hak hap	1996
Yip, Françoise	Hung fan kui	1995
O'Hara, Jenny	Devil	2010
O'Hara, Jenny	Matchstick Men	2003
O'Hara, Jenny	Mystic River	2003
O'Hara, Jenny	Wishmaster	1997
Gordon, Matt (I)	Blindness	2008
Gordon, Matt (I)	Pushing Tin	1999
Gordon, Matt (I)	Shall We Dance	2004
Gordon, Matt (I)	Traitor	2008
Cueto, Esteban	Collateral Damage	2002
Cueto, Esteban	A Man Apart	2003
Cueto, Esteban	BloodRayne	2005
Cueto, Esteban	Miss Congeniality 2: Armed and Fabulous	2005
Cueto, Esteban	Fast Five	2011
Cueto, Esteban	The Scorpion King	2002
Cueto, Esteban	xXx	2002
Willett, Tom (I)	Heartbreak Ridge	1986
Willett, Tom (I)	Pee-wee's Big Adventure	1985
Willett, Tom (I)	Kiss Kiss Bang Bang	2005
Musburger, Brent	Cars 2	2011
Musburger, Brent	The Waterboy	1998
Musburger, Brent	Rocky II	1979
Hung Kam-Bo, Sammo	Around the World in 80 Days	2004
Hung Kam-Bo, Sammo	Enter the Dragon	1973
Hung Kam-Bo, Sammo	Yat goh ho yan	1997
Hung Kam-Bo, Sammo	Tao jie	2011
Hung Kam-Bo, Sammo	Long wei fu zi	2004
Pashinin, Anatoliy	My iz budushchego	2008
Pashinin, Anatoliy	Admiral	2008
Pashinin, Anatoliy	Z'olushka	2012
Marceau, Sophie	Belphégor - Le fantôme du Louvre	2001
Marceau, Sophie	Braveheart	1995
Marceau, Sophie	Alex & Emma	2003
Marceau, Sophie	A Midsummer Night's Dream	1999
Marceau, Sophie	Laughing Out Loud) ®	2008
Marceau, Sophie	The World Is Not Enough	1999
Robinson, Fatima	Romeo Must Die	2000
Robinson, Fatima	Dreamgirls	2006
Robinson, Fatima	American Gangster	2007
Duncan, Patrick Coleman	Men in Black II	2002
Duncan, Patrick Coleman	Private Parts	1997
Duncan, Patrick Coleman	Eddie	1996
Duncan, Patrick Coleman	Spider-Man	2002
Duncan, Patrick Coleman	Night Falls on Manhattan	1996
Mayo, Krystal	Harold & Kumar Escape from Guantanamo Bay	2008
Mayo, Krystal	Vampires Suck	2010
Mayo, Krystal	Year One	2009
Reid, Chris (II)	Get Smart	2008
Reid, Chris (II)	Iron Man	2008
Reid, Chris (II)	Harold & Kumar Escape from Guantanamo Bay	2008
Reid, Chris (II)	Pirates of the Caribbean: Dead Man's Chest	2006
Charpentier, Megan	Jennifer's Body	2009
Charpentier, Megan	The Mrs. Clause	2008
Charpentier, Megan	Red Riding Hood	2011
Buck (X)	Snow Dogs	2002
Buck (X)	Eight Below	2006
Buck (X)	Race to Witch Mountain	2009
Yurij, Kis	TRON: Legacy	2010
Yurij, Kis	The Imaginarium of Doctor Parnassus	2009
Yurij, Kis	Rise of the Planet of the Apes	2011
Darshi, Agam	Good Luck Chuck	2007
Darshi, Agam	Final Destination 3	2006
Darshi, Agam	Watchmen	2009
Darshi, Agam	Snakes on a Plane	2006
Darshi, Agam	Deck the Halls	2006
Bissonnette, Joel	The Sum of All Fears	2002
Bissonnette, Joel	The Curious Case of Benjamin Button	2008
Bissonnette, Joel	Zodiac	2007
Bissonnette, Joel	Fight Club	1999
Efron, David (I)	Hard Target	1993
Efron, David (I)	Another 48 Hrs.	1990
Efron, David (I)	Universal Soldier	1992
Efron, David (I)	Twins	1988
Carr, Bubba	Out to Sea	1997
Carr, Bubba	Footloose	2011
Carr, Bubba	The Country Bears	2002
Clem, Frank	Austin Powers: The Spy Who Shagged Me	1999
Clem, Frank	The Rainmaker	1997
Clem, Frank	Jurassic Park III	2001
Hostetter, John	Mononoke-hime	1997
Hostetter, John	Star Trek: Insurrection	1998
Hostetter, John	Heartbreak Ridge	1986
Hostetter, John	Love Affair	1994
Hostetter, John	Beverly Hills Cop II	1987
Hostetter, John	The People Under the Stairs	1991
Taylor, Elayn J.	Rules of Engagement	2000
Taylor, Elayn J.	Dr. Dolittle 2	2001
Taylor, Elayn J.	Something's Gotta Give	2003
Taylor, Elayn J.	The Wood	1999
Franko, Victor	The Game Plan	2007
Franko, Victor	I Don't Know How She Does It	2011
Franko, Victor	Surrogates	2009
Franko, Victor	Paul Blart: Mall Cop	2009
Franko, Victor	Underdog	2007
Franko, Victor	Gone Baby Gone	2007
Franko, Victor	21	2008
Franko, Victor	The Company Men	2010
Franko, Victor	Knowing	2009
Franko, Victor	The Invention of Lying	2009
Franko, Victor	Fever Pitch	2005
Johnston, Justine	Arthur	1981
Johnston, Justine	Nine 1/2 Weeks	1986
Johnston, Justine	The New Guy	2002
Johnston, Justine	Fatal Attraction	1987
Spacey, Kevin	The Life of David Gale	2003
Spacey, Kevin	The Negotiator	1998
Spacey, Kevin	21	2008
Spacey, Kevin	Margin Call	2011
Spacey, Kevin	Se7en	1995
Spacey, Kevin	Midnight in the Garden of Good and Evil	1997
Spacey, Kevin	Working Girl	1988
Spacey, Kevin	Fred Claus	2007
Spacey, Kevin	Outbreak	1995
Spacey, Kevin	A Time to Kill	1996
Spacey, Kevin	Superman Returns	2006
Spacey, Kevin	Beyond the Sea	2004
Spacey, Kevin	Pay It Forward	2000
Spacey, Kevin	A Bug's Life	1998
Spacey, Kevin	The Men Who Stare at Goats	2009
Spacey, Kevin	American Beauty	1999
Spacey, Kevin	See No Evil, Hear No Evil	1989
Spacey, Kevin	L.A. Confidential	1997
Spacey, Kevin	Moon	2009
Spacey, Kevin	Horrible Bosses	2011
Spacey, Kevin	The Shipping News	2001
Spacey, Kevin	K-PAX	2001
Spacey, Kevin	Austin Powers in Goldmember	2002
Lowman, Kristen (I)	The Adventures of Rocky & Bullwinkle	2000
Lowman, Kristen (I)	You Don't Mess with the Zohan	2008
Lowman, Kristen (I)	Problem Child	1990
Kajioka, Junichi	Cars 2	2011
Kajioka, Junichi	Shanghai	2010
Kajioka, Junichi	Jin líng shí san chai	2011
Howell, Norman	Wyatt Earp	1994
Howell, Norman	L.A. Confidential	1997
Howell, Norman	Desperate Measures	1998
Ruskin, Joseph	Smokin' Aces	2006
Ruskin, Joseph	Indecent Proposal	1993
Ruskin, Joseph	Star Trek: Insurrection	1998
Ruskin, Joseph	The Sword and the Sorcerer	1982
Ruskin, Joseph	The Scorpion King	2002
Lashae, Julia	The Life of David Gale	2003
Lashae, Julia	Last Holiday	2006
Lashae, Julia	Deja Vu	2006
Lashae, Julia	Because of Winn-Dixie	2005
Monrovia, Marilyn	Dance with Me	1998
Monrovia, Marilyn	Race to Witch Mountain	2009
Monrovia, Marilyn	Star Trek: Insurrection	1998
Monrovia, Marilyn	Mighty Joe Young	1998
Jennings, Juanita	Daddy's Little Girls	2007
Jennings, Juanita	Runaway Jury	2003
Jennings, Juanita	What Women Want	2000
Jennings, Juanita	Basic Instinct	1992
Jennings, Juanita	Baby Boy	2001
Takenaka, Naoto	20-seiki shônen: Honkaku kagaku bôken eiga	2008
Takenaka, Naoto	Shall we dansu?	1996
Takenaka, Naoto	One Piece Film: Strong World	2009
Speirs, Steve	Topsy-Turvy	1999
Speirs, Steve	Eragon	2006
Speirs, Steve	The Musketeer	2001
Speirs, Steve	Pirates of the Caribbean: Dead Man's Chest	2006
Speirs, Steve	Star Wars: Episode I - The Phantom Menace	1999
Speirs, Steve	Inkheart	2008
Monroe, Steve (I)	Cast Away	2000
Monroe, Steve (I)	School for Scoundrels	2006
Monroe, Steve (I)	J. Edgar	2011
Monroe, Steve (I)	The Nutty Professor	1996
Monroe, Steve (I)	Austin Powers: International Man of Mystery	1997
Monroe, Steve (I)	Space Cowboys	2000
Monroe, Steve (I)	Can't Hardly Wait	1998
Monroe, Steve (I)	Superhero Movie	2008
Monroe, Steve (I)	Miss Congeniality	2000
Pitts, Ron (I)	The Birdcage	1996
Pitts, Ron (I)	The Fan	1996
Pitts, Ron (I)	Two for the Money	2005
Pitts, Ron (I)	Hot Shots! Part Deux	1993
Pitts, Ron (I)	Independence Day	1996
Beasley, Allyce	Legally Blonde	2001
Beasley, Allyce	Recess: School's Out	2001
Beasley, Allyce	Stuart Little	1999
Lawrence, Andrew (I)	Jack Frost	1998
Lawrence, Andrew (I)	Recess: School's Out	2001
Lawrence, Andrew (I)	Bean	1997
Battle, Texas	Final Destination 3	2006
Battle, Texas	Coach Carter	2005
Battle, Texas	Dragonball Evolution	2009
Tootoosis, Gordon	Pocahontas	1995
Tootoosis, Gordon	Legends of the Fall	1994
Tootoosis, Gordon	Alaska	1996
Tootoosis, Gordon	Reindeer Games	2000
Tootoosis, Gordon	Open Season	2006
Tootoosis, Gordon	The Edge	1997
Tootoosis, Gordon	Lone Star	1996
Byrne, Michael (I)	Proof of Life	2000
Byrne, Michael (I)	Indiana Jones and the Last Crusade	1989
Byrne, Michael (I)	Braveheart	1995
Byrne, Michael (I)	The Sum of All Fears	2002
Byrne, Michael (I)	Apt Pupil	1998
Byrne, Michael (I)	The Saint	1997
Byrne, Michael (I)	The Musketeer	2001
Byrne, Michael (I)	Gangs of New York	2002
Byrne, Michael (I)	Beyond the Sea	2004
Byrne, Michael (I)	Battlefield Earth: A Saga of the Year 3000	2000
Byrne, Michael (I)	Harry Potter and the Deathly Hallows: Part 1	2010
Byrne, Michael (I)	A Bridge Too Far	1977
Byrne, Michael (I)	Tomorrow Never Dies	1997
Apicella, John	The Kid	2000
Apicella, John	Point Break	1991
Apicella, John	High Crimes	2002
Landry, Yvonne (I)	Big Momma's House 2	2006
Landry, Yvonne (I)	The Reaping	2007
Landry, Yvonne (I)	Deja Vu	2006
Kogan, Milt	E.T.: The Extra-Terrestrial	1982
Kogan, Milt	Brewster's Millions	1985
Kogan, Milt	The Descendants	2011
Kogan, Milt	Bachelor Party	1984
Blanks, Billy	Kiss the Girls	1997
Blanks, Billy	Tango & Cash	1989
Blanks, Billy	The Last Boy Scout	1991
Blanks, Billy	Jack and Jill	2011
Jow, Malese	Bratz	2007
Jow, Malese	Aliens in the Attic	2009
Jow, Malese	The Social Network	2010
Olsen, Daniel (II)	Little Women	1994
Olsen, Daniel (II)	Hocus Pocus	1993
Olsen, Daniel (II)	Jumanji	1995
Olsen, Daniel (II)	Good Will Hunting	1997
Olsen, Daniel (II)	Stuck on You	2003
Olsen, Daniel (II)	HouseSitter	1992
Onorati, Peter	Scrooged	1988
Onorati, Peter	RocketMan	1997
Onorati, Peter	Goodfellas	1990
Mawe, Richard	Rounders	1998
Mawe, Richard	Small Time Crooks	2000
Mawe, Richard	The Human Stain	2003
McGill, Paul (II)	Man on Wire	2008
McGill, Paul (II)	Fame	2009
McGill, Paul (II)	Meet Dave	2008
Henry, Jim (I)	Stir Crazy	1980
Henry, Jim (I)	Where the Heart Is	2000
Henry, Jim (I)	Universal Soldier: The Return	1999
Henry, Jim (I)	Machete	2010
Henry, Jim (I)	American Pie	1999
Rintoul, David	The Iron Lady	2011
Rintoul, David	The Ghost Writer	2010
Rintoul, David	My Week with Marilyn	2011
Erwin, Bill	Naked Gun 33 1/3: The Final Insult	1994
Erwin, Bill	Forces of Nature	1999
Erwin, Bill	The Land Before Time	1988
Erwin, Bill	Dennis the Menace	1993
Erwin, Bill	Planes, Trains & Automobiles	1987
Erwin, Bill	Home Alone	1990
Shaw, John (I)	Watchmen	2009
Shaw, John (I)	Little Women	1994
Shaw, John (I)	The Core	2003
Shaw, John (I)	Diary of a Wimpy Kid: Rodrick Rules	2011
Shaw, John (I)	The Last Mimzy	2007
Shaw, John (I)	The Day the Earth Stood Still	2008
Shaw, John (I)	The Perfect Score	2004
Lane, Larry (II)	The Girl Next Door	2004
Lane, Larry (II)	Something's Gotta Give	2003
Lane, Larry (II)	The Patriot	2000
Lane, Larry (II)	Spider-Man	2002
Lane, Larry (II)	Jack and Jill	2011
Manji, Rizwan	Morning Glory	2010
Manji, Rizwan	Charlie Wilson's War	2007
Manji, Rizwan	Transformers	2007
Manji, Rizwan	The Guru	2002
Manji, Rizwan	The Dictator	2012
Miller, Dick (I)	Unlawful Entry	1992
Miller, Dick (I)	1941	1979
Miller, Dick (I)	Pulp Fiction	1994
Miller, Dick (I)	Small Soldiers	1998
Miller, Dick (I)	Looney Tunes: Back in Action	2003
Miller, Dick (I)	Gremlins 2: The New Batch	1990
Miller, Dick (I)	Gremlins	1984
Miller, Dick (I)	The Dirty Dozen	1967
Miller, Dick (I)	All the Right Moves	1983
Miller, Dick (I)	The Terminator	1984
Harrelson, Woody	A Scanner Darkly	2006
Harrelson, Woody	Natural Born Killers	1994
Harrelson, Woody	A Prairie Home Companion	2006
Harrelson, Woody	Edtv	1999
Harrelson, Woody	Wag the Dog	1997
Harrelson, Woody	White Men Can't Jump	1992
Harrelson, Woody	Kingpin	1996
Harrelson, Woody	Anger Management	2003
Harrelson, Woody	Indecent Proposal	1993
Harrelson, Woody	After the Sunset	2004
Harrelson, Woody	Slipp Jimmy fri	2006
Harrelson, Woody	Wildcats	1986
Harrelson, Woody	Zombieland	2009
Harrelson, Woody	Friends with Benefits	2011
Harrelson, Woody	The Thin Red Line	1998
Harrelson, Woody	Doc Hollywood	1991
Harrelson, Woody	Semi-Pro	2008
Harrelson, Woody	The People vs. Larry Flynt	1996
Harrelson, Woody	Play It to the Bone	1999
Harrelson, Woody	Seven Pounds	2008
Harrelson, Woody	The Hunger Games	2012
Harrelson, Woody	North Country	2005
Harrelson, Woody	Austin Powers: The Spy Who Shagged Me	1999
Harrelson, Woody	No Country for Old Men	2007
Harrelson, Woody	Money Train	1995
Jordan, Bobby (III)	The Blind Side	2009
Jordan, Bobby (III)	Leatherheads	2008
Jordan, Bobby (III)	We Are Marshall	2006
Nall, Benita Krista	Catch Me If You Can	2002
Nall, Benita Krista	Minority Report	2002
Nall, Benita Krista	13 Going on 30	2004
Kazan, Lainie	Beaches	1988
Kazan, Lainie	The Crew	2000
Kazan, Lainie	The Delta Force	1986
Kazan, Lainie	Bratz	2007
Kazan, Lainie	The Big Hit	1998
Kazan, Lainie	Eight Crazy Nights	2002
Kazan, Lainie	The Associate	1996
Kazan, Lainie	My Favorite Year	1982
Kazan, Lainie	My Big Fat Greek Wedding	2002
Kazan, Lainie	You Don't Mess with the Zohan	2008
Kazan, Lainie	Gigli	2003
Verebély, Iván	The Boy in the Striped Pyjamas	2008
Verebély, Iván	Macskafogó 2 - A sátán macskája	2007
Verebély, Iván	Csocsó, avagy éljen május elseje!	2001
Robinson, Diona	Coach Carter	2005
Robinson, Diona	You Got Served	2004
Robinson, Diona	Dance Flick	2009
Bornheimer, Kyle	Blades of Glory	2007
Bornheimer, Kyle	She's Out of My League	2010
Bornheimer, Kyle	You Again	2010
Mays, Jefferson	How to Lose Friends & Alienate People	2008
Mays, Jefferson	Kinsey	2004
Mays, Jefferson	Alfie	2004
Nervies, Nick	Project X	2012
Nervies, Nick	The Soloist	2009
Nervies, Nick	Role Models	2008
Allen, Christa B.	Jonas Brothers: The 3D Concert Experience	2009
Allen, Christa B.	Ghosts of Girlfriends Past	2009
Allen, Christa B.	13 Going on 30	2004
Allen, Christa B.	Youth in Revolt	2009
Ahern, James 'Sporty'	Dumb & Dumber	1994
Ahern, James 'Sporty'	There's Something About Mary	1998
Ahern, James 'Sporty'	Kingpin	1996
Patinkin, Mandy	Everyone's Hero	2006
Patinkin, Mandy	Ragtime	1981
Patinkin, Mandy	The Princess Bride	1987
Patinkin, Mandy	The Adventures of Elmo in Grouchland	1999
Patinkin, Mandy	Dick Tracy	1990
Patinkin, Mandy	Yentl	1983
Smith, Afton	Dickie Roberts: Former Child Star	2003
Smith, Afton	George of the Jungle	1997
Smith, Afton	Fried Green Tomatoes	1991
Kern, Joey	The Goods: Live Hard, Sell Hard	2009
Kern, Joey	Lucky You	2007
Kern, Joey	Super Troopers	2001
Kern, Joey	Cabin Fever	2002
Adams, Maud	A View to a Kill	1985
Adams, Maud	The Man with the Golden Gun	1974
Adams, Maud	Octopussy	1983
Guastaferro, Vincent	Spartan	2004
Guastaferro, Vincent	Sweet and Lowdown	1999
Guastaferro, Vincent	Legal Eagles	1986
Guastaferro, Vincent	Jason Lives: Friday the 13th Part VI	1986
Rue, Betsy	My Bloody Valentine	2009
Rue, Betsy	Halloween II	2009
Rue, Betsy	The Heartbreak Kid	2007
Shimerman, Armin	Star Trek: Insurrection	1998
Shimerman, Armin	K)now!?	2004
Shimerman, Armin	StarCraft II: Wings of Liberty	2010
Huang, Shengyi	Race to Witch Mountain	2009
Huang, Shengyi	Bai she chuan shuo	2011
Huang, Shengyi	Kung fu	2004
Arnold, Tichina	Wild Hogs	2007
Arnold, Tichina	Drillbit Taylor	2008
Arnold, Tichina	Little Shop of Horrors	1986
Arnold, Tichina	Dance Flick	2009
Arnold, Tichina	Big Momma's House	2000
Oglesby, Randy	We Were Soldiers	2002
Oglesby, Randy	Independence Day	1996
Oglesby, Randy	Patch Adams	1998
Oglesby, Randy	Bringing Down the House	2003
Oglesby, Randy	Pearl Harbor	2001
Oglesby, Randy	Nothing to Lose	1997
Oglesby, Randy	Liar Liar	1997
Oglesby, Randy	Pale Rider	1985
Oglesby, Randy	Shopgirl	2005
Oglesby, Randy	The Island	2005
Manville, Lesley	Topsy-Turvy	1999
Manville, Lesley	A Christmas Carol	2009
Manville, Lesley	Vera Drake	2004
Manville, Lesley	Secrets & Lies	1996
Ruff, Roslyn	Rachel Getting Married	2008
Ruff, Roslyn	The Help	2011
Ruff, Roslyn	Salt	2010
Griffith, Michael (III)	Annapolis	2006
Griffith, Michael (III)	Rounders	1998
Griffith, Michael (III)	Invincible	2006
Griffith, Michael (III)	Snake Eyes	1998
Santiago, Zak	Deck the Halls	2006
Santiago, Zak	Josie and the Pussycats	2001
Santiago, Zak	The Eye	2008
De'Antone, Marc	Stick It	2006
De'Antone, Marc	Norbit	2007
De'Antone, Marc	Drillbit Taylor	2008
De'Antone, Marc	Wedding Crashers	2005
De'Antone, Marc	Million Dollar Baby	2004
De'Antone, Marc	Kicking & Screaming	2005
De'Antone, Marc	Little Miss Sunshine	2006
Ulliel, Gaspard	Hannibal Rising	2007
Ulliel, Gaspard	Le pacte des loups	2001
Ulliel, Gaspard	Un long dimanche de fiançailles	2004
Brogren, Paul (I)	Johnny Mnemonic	1995
Brogren, Paul (I)	Pushing Tin	1999
Brogren, Paul (I)	Half Baked	1998
Talbott, Michael	Mommie Dearest	1981
Talbott, Michael	Vacation	1983
Talbott, Michael	First Blood	1982
Talbott, Michael	Any Which Way You Can	1980
Peterson, Ernest	Remember the Titans	2000
Peterson, Ernest	Road Trip	2000
Peterson, Ernest	Sweet Home Alabama	2002
Cassini, John	Catwoman	2004
Cassini, John	Get Carter	2000
Cassini, John	Halloween H20: 20 Years Later	1998
Cassini, John	Paycheck	2003
Cassini, John	Se7en	1995
Cassini, John	The Game	1997
Mura	Kimmy Dora and the Temple of Kiyeme	2012
Mura	SupahPapalicious	2008
Mura	Kimmy Dora: Kambal sa kiyeme	2009
Boyd, Blake	The Cable Guy	1996
Boyd, Blake	RocketMan	1997
Boyd, Blake	First Kid	1996
Kramarov, Saveli	Tango & Cash	1989
Kramarov, Saveli	2010	1984
Kramarov, Saveli	Love Affair	1994
Summers, Jerry (I)	Spartacus	1960
Summers, Jerry (I)	What's Up, Doc?	1972
Summers, Jerry (I)	Blazing Saddles	1974
Mullarkey, Neil	Spice World	1997
Mullarkey, Neil	Austin Powers: International Man of Mystery	1997
Mullarkey, Neil	Austin Powers in Goldmember	2002
Forest, Denis	The Mask	1994
Forest, Denis	Eraser	1996
Forest, Denis	Cliffhanger	1993
Ross, Joe (I)	The Princess Diaries	2001
Ross, Joe (I)	The Princess Diaries 2: Royal Engagement	2004
Ross, Joe (I)	The Other Sister	1999
Shamata, Chuck	The Day After Tomorrow	2004
Shamata, Chuck	The Sentinel	2006
Shamata, Chuck	Cinderella Man	2005
Craig, Jenna (I)	The Final Destination	2009
Craig, Jenna (I)	Green Lantern	2011
Craig, Jenna (I)	Year One	2009
Stevens-Logan, Susie	Brother Bear	2003
Stevens-Logan, Susie	Dinosaur	2000
Stevens-Logan, Susie	Eight Crazy Nights	2002
Walker, Jonathan (I)	Along Came a Spider	2001
Walker, Jonathan (I)	The Thing	2011
Walker, Jonathan (I)	Traitor	2008
Walker, Jonathan (I)	Land of the Dead	2005
Hardy, Tom (I)	Inception	2010
Hardy, Tom (I)	Warrior	2011
Hardy, Tom (I)	The Dark Knight Rises	2012
Hardy, Tom (I)	Black Hawk Down	2001
Hardy, Tom (I)	Mad Max: Fury Road	2013
Hardy, Tom (I)	Marie Antoinette	2006
Hardy, Tom (I)	Star Trek: Nemesis	2002
Hardy, Tom (I)	This Means War	2012
Hardy, Tom (I)	Tinker Tailor Soldier Spy	2011
Hardy, Tom (I)	RocknRolla	2008
Savident, John	Hudson Hawk	1991
Savident, John	A Clockwork Orange	1971
Savident, John	Gandhi	1982
Kidder, Margot	Some Kind of Hero	1982
Kidder, Margot	The Amityville Horror	1979
Kidder, Margot	Halloween II	2009
Kidder, Margot	Superman	1978
Kidder, Margot	Superman II	1980
Kidder, Margot	Maverick	1994
Kidder, Margot	Superman III	1983
Auring, Madam	Manay po 2: Overload	2008
Auring, Madam	The Ungasis and Escaleras Adventure)	2008
Auring, Madam	Apat dapat, dapat apat: Friends 4 lyf and death	2007
Dean, Loren	Apollo 13	1995
Dean, Loren	Gattaca	1997
Dean, Loren	Space Cowboys	2000
Dean, Loren	Rosewood	1997
Dean, Loren	Enemy of the State	1998
Richards, Devon (II)	Land of the Dead	2005
Richards, Devon (II)	Bulletproof Monk	2003
Richards, Devon (II)	Resident Evil: Afterlife	2010
Richards, Devon (II)	Four Brothers	2005
Donner, Jack	The Adventures of Rocky & Bullwinkle	2000
Donner, Jack	The Invisible	2007
Donner, Jack	Four Christmases	2008
Donner, Jack	This Is It	2009
Donner, Jack	J. Edgar	2011
Donner, Jack	Stigmata	1999
Cummins, Chris (I)	Joy Ride	2001
Cummins, Chris (I)	The SpongeBob SquarePants Movie	2004
Cummins, Chris (I)	Beowulf	2007
Gregory, Constantine	The Last Emperor	1987
Gregory, Constantine	GoldenEye	1995
Gregory, Constantine	Diamonds Are Forever	1971
Gregory, Constantine	The Sum of All Fears	2002
Gregory, Constantine	Shanghai Knights	2003
Wong Chau-Sang, Anthony	Tau man ji D	2005
